h3_origin,h3_dest,trips,origin_zone,dest_zone
89ce8c0c67bffff,89ce8c0f3bbffff,3.3927,1.0,12.0
89ce8c0c67bffff,89ce8c0f383ffff,1.8012,1.0,12.0
89ce8c0c67bffff,89ce8c0f317ffff,3.0296,1.0,12.0
89ce8c0c67bffff,89ce8c0f313ffff,2.7474,1.0,12.0
89ce8c0c67bffff,89ce8c0f38fffff,2.6234,1.0,12.0
89ce8c0c67bffff,89ce8c0f387ffff,2.0971,1.0,12.0
89ce8c0c67bffff,89ce8c0f38bffff,3.4664,1.0,12.0
89ce8c0c663ffff,89ce8c0f3bbffff,3.1414,1.0,12.0
89ce8c0c663ffff,89ce8c0f383ffff,1.6677,1.0,12.0
89ce8c0c663ffff,89ce8c0f317ffff,2.8051,1.0,12.0
89ce8c0c663ffff,89ce8c0f313ffff,2.5439,1.0,12.0
89ce8c0c663ffff,89ce8c0f38fffff,2.429,1.0,12.0
89ce8c0c663ffff,89ce8c0f387ffff,1.9418,1.0,12.0
89ce8c0c663ffff,89ce8c0f38bffff,3.2096,1.0,12.0
89ce8c0c62bffff,89ce8c0f3bbffff,4.6342,1.0,12.0
89ce8c0c62bffff,89ce8c0f383ffff,2.4603,1.0,12.0
89ce8c0c62bffff,89ce8c0f317ffff,4.1382,1.0,12.0
89ce8c0c62bffff,89ce8c0f313ffff,3.7528,1.0,12.0
89ce8c0c62bffff,89ce8c0f38fffff,3.5833,1.0,12.0
89ce8c0c62bffff,89ce8c0f387ffff,2.8645,1.0,12.0
89ce8c0c62bffff,89ce8c0f38bffff,4.7349,1.0,12.0
89ce8c0c677ffff,89ce8c0f3bbffff,11.68,1.0,12.0
89ce8c0c677ffff,89ce8c0f383ffff,6.2009,1.0,12.0
89ce8c0c677ffff,89ce8c0f317ffff,10.4298,1.0,12.0
89ce8c0c677ffff,89ce8c0f313ffff,9.4584,1.0,12.0
89ce8c0c677ffff,89ce8c0f38fffff,9.0314,1.0,12.0
89ce8c0c677ffff,89ce8c0f387ffff,7.2197,1.0,12.0
89ce8c0c677ffff,89ce8c0f38bffff,11.9337,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f3bbffff,1.0276,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f383ffff,0.5456,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f317ffff,0.9176,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f313ffff,0.8322,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f38fffff,0.7946,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f387ffff,0.6352,1.0,12.0
89ce8c0c2d3ffff,89ce8c0f38bffff,1.0499,1.0,12.0
89ce8c0c66bffff,89ce8c0f3bbffff,2.0784,1.0,12.0
89ce8c0c66bffff,89ce8c0f383ffff,1.1034,1.0,12.0
89ce8c0c66bffff,89ce8c0f317ffff,1.8559,1.0,12.0
89ce8c0c66bffff,89ce8c0f313ffff,1.6831,1.0,12.0
89ce8c0c66bffff,89ce8c0f38fffff,1.6071,1.0,12.0
89ce8c0c66bffff,89ce8c0f387ffff,1.2847,1.0,12.0
89ce8c0c66bffff,89ce8c0f38bffff,2.1236,1.0,12.0
89ce8c0c62fffff,89ce8c0f3bbffff,2.8477,1.0,12.0
89ce8c0c62fffff,89ce8c0f383ffff,1.5118,1.0,12.0
89ce8c0c62fffff,89ce8c0f317ffff,2.5429,1.0,12.0
89ce8c0c62fffff,89ce8c0f313ffff,2.306,1.0,12.0
89ce8c0c62fffff,89ce8c0f38fffff,2.2019,1.0,12.0
89ce8c0c62fffff,89ce8c0f387ffff,1.7602,1.0,12.0
89ce8c0c62fffff,89ce8c0f38bffff,2.9095,1.0,12.0
89ce8c0c66fffff,89ce8c0f3bbffff,2.4904,1.0,12.0
89ce8c0c66fffff,89ce8c0f383ffff,1.3221,1.0,12.0
89ce8c0c66fffff,89ce8c0f317ffff,2.2238,1.0,12.0
89ce8c0c66fffff,89ce8c0f313ffff,2.0167,1.0,12.0
89ce8c0c66fffff,89ce8c0f38fffff,1.9257,1.0,12.0
89ce8c0c66fffff,89ce8c0f387ffff,1.5394,1.0,12.0
89ce8c0c66fffff,89ce8c0f38bffff,2.5445,1.0,12.0
89ce8c0c67bffff,89ce8c0f027ffff,0.4148,1.0,14.0
89ce8c0c67bffff,89ce8c0f153ffff,0.4014,1.0,14.0
89ce8c0c67bffff,89ce8c0f397ffff,0.4065,1.0,14.0
89ce8c0c67bffff,89ce8c0f157ffff,0.5092,1.0,14.0
89ce8c0c67bffff,89ce8c0f143ffff,0.7676,1.0,14.0
89ce8c0c67bffff,89ce8c0f147ffff,0.6738,1.0,14.0
89ce8c0c67bffff,89ce8c0f15bffff,0.1883,1.0,14.0
89ce8c0c67bffff,89ce8c0f02fffff,0.5729,1.0,14.0
89ce8c0c67bffff,89ce8c0f14bffff,1.3174,1.0,14.0
89ce8c0c663ffff,89ce8c0f027ffff,0.3841,1.0,14.0
89ce8c0c663ffff,89ce8c0f153ffff,0.3717,1.0,14.0
89ce8c0c663ffff,89ce8c0f397ffff,0.3764,1.0,14.0
89ce8c0c663ffff,89ce8c0f157ffff,0.4715,1.0,14.0
89ce8c0c663ffff,89ce8c0f143ffff,0.7107,1.0,14.0
89ce8c0c663ffff,89ce8c0f147ffff,0.6239,1.0,14.0
89ce8c0c663ffff,89ce8c0f15bffff,0.1744,1.0,14.0
89ce8c0c663ffff,89ce8c0f02fffff,0.5304,1.0,14.0
89ce8c0c663ffff,89ce8c0f14bffff,1.2198,1.0,14.0
89ce8c0c62bffff,89ce8c0f027ffff,0.5666,1.0,14.0
89ce8c0c62bffff,89ce8c0f153ffff,0.5483,1.0,14.0
89ce8c0c62bffff,89ce8c0f397ffff,0.5552,1.0,14.0
89ce8c0c62bffff,89ce8c0f157ffff,0.6955,1.0,14.0
89ce8c0c62bffff,89ce8c0f143ffff,1.0484,1.0,14.0
89ce8c0c62bffff,89ce8c0f147ffff,0.9204,1.0,14.0
89ce8c0c62bffff,89ce8c0f15bffff,0.2572,1.0,14.0
89ce8c0c62bffff,89ce8c0f02fffff,0.7825,1.0,14.0
89ce8c0c62bffff,89ce8c0f14bffff,1.7995,1.0,14.0
89ce8c0c677ffff,89ce8c0f027ffff,1.428,1.0,14.0
89ce8c0c677ffff,89ce8c0f153ffff,1.3818,1.0,14.0
89ce8c0c677ffff,89ce8c0f397ffff,1.3993,1.0,14.0
89ce8c0c677ffff,89ce8c0f157ffff,1.753,1.0,14.0
