Zona_Origen,Zona_Destino,Viajes_Totales
0,1,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
0,29,0.0
0,3,0.0
0,30,0.0
0,35,0.0
0,36,0.0
0,38,0.0
0,4,0.0
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.0
0,47,0.0
0,5,0.0
0,56,0.0
0,61,0.0
0,62,0.0
0,63,0.0
0,64,0.0
0,65,0.0
0,67,0.0
0,69,0.0
0,7,0.0
0,70,0.0
0,71,0.0
0,72,0.0
0,73,0.0
0,8,0.0
1,12,176.7
1,14,48.44
1,15,176.7
1,2,43.42
1,20,27.25
1,3,118.59
1,37,21.28
1,38,77.28
1,4,238.9
1,43,25.9
1,44,43.15
1,47,103.35
1,49,233.77
1,5,55.56
1,56,72.41
1,58,13.57
1,64,33.13
1,7,28.01
1,71,113.04
10,0,0.0
10,10,314.44
10,11,32.36
10,12,600.18
10,13,290.18
10,14,116.35
10,15,402.32
10,16,843.98
10,17,25.95
10,18,132.36
10,19,21.61
10,2,297.91
10,21,355.75
10,22,203.4
10,24,105.54
10,25,64.3
10,26,158.11
10,27,218.22
10,28,169.69
10,29,29.59
10,3,256.34
10,30,36.07
10,31,104.06
10,33,538.35
10,34,210.97
10,35,109.16
10,36,114.83
10,37,169.27
10,38,162.41
10,39,206.54
10,40,218.68
10,41,51.71
10,42,324.69
10,43,170.87
10,44,442.65
10,47,165.14
10,48,130.5
10,49,28.35
10,5,607.75
10,53,11.45
10,56,173.92
10,6,178.44
10,64,153.41
10,65,15.42
10,67,15.6
10,7,229.1
10,8,151.34
10,9,139.66
11,1,61.98
11,10,59.09
11,11,1005.49
11,12,666.88
11,13,265.75
11,14,405.09
11,15,580.65
11,16,1084.47
11,18,240.11
11,2,165.41
11,20,21.59
11,21,159.1
11,22,309.7
11,24,308.38
11,26,41.62
11,27,194.36
11,28,40.06
11,29,37.58
11,3,136.38
11,30,23.45
11,31,66.63
11,32,38.12
11,33,262.21
11,34,72.91
11,35,134.62
11,37,79.18
11,40,133.63
11,41,118.3
11,42,600.57
11,43,327.61
11,44,466.2
11,45,5.13
11,47,191.18
11,48,19.89
11,49,28.35
11,5,857.76
11,50,53.01
11,52,77.27
11,55,31.13
11,56,112.58
11,6,77.54
11,64,358.69
11,65,57.49
11,66,29.78
11,67,43.67
11,7,718.63
11,72,44.01
11,8,1146.09
11,9,290.01
12,0,0.0
12,1,176.7
12,10,565.95
12,11,834.41
12,12,2706.83
12,13,428.42
12,14,1376.22
12,15,1136.08
12,16,1700.44
12,17,314.8
12,18,186.34
12,19,17.8
12,2,443.85
12,20,104.35
12,21,922.89
12,22,347.27
12,24,486.64
12,25,580.68
12,26,35.82
12,27,310.99
12,28,130.4
12,29,23.45
12,3,892.55
12,30,72.13
12,31,187.81
12,33,394.63
12,34,289.73
12,35,354.71
12,36,97.32
12,37,48.56
12,38,168.73
12,39,306.12
12,4,209.01
12,40,306.88
12,41,520.13
12,42,1087.91
12,43,1087.45
12,44,92.51
12,45,1.65
12,47,349.26
12,48,140.41
12,49,64.78
12,5,1610.33
12,52,312.96
12,55,55.79
12,56,515.31
12,57,21.36
12,59,86.01
12,6,280.11
12,61,86.01
12,63,184.37
12,64,308.1
12,65,208.08
12,66,84.79
12,7,1011.83
12,8,1926.27
12,9,130.86
13,0,0.0
13,10,461.99
13,11,252.36
13,12,610.18
13,13,178.06
13,14,109.35
13,15,418.62
13,16,176.33
13,17,25.74
13,2,44.01
13,20,38.43
13,21,373.48
13,22,239.52
13,24,694.56
13,25,25.44
13,26,55.25
13,27,367.06
13,28,293.14
13,29,137.52
13,3,182.6
13,30,195.62
13,31,99.27
13,32,89.3
13,33,111.97
13,34,148.57
13,35,144.2
13,37,152.38
13,39,93.48
13,4,25.44
13,40,246.97
13,41,115.57
13,42,428.14
13,43,116.9
13,44,391.33
13,47,339.97
13,48,114.98
13,5,662.09
13,52,25.44
13,55,49.33
13,56,280.95
13,57,10.78
13,62,46.99
13,63,57.93
13,64,83.54
13,65,68.11
13,66,50.87
13,68,25.44
13,7,261.84
13,71,25.44
13,8,289.68
13,9,37.3
14,0,0.0
14,10,88.9
14,11,302.79
14,12,1269.87
14,13,60.84
14,14,443.83
14,15,481.29
14,16,1499.62
14,17,100.29
14,18,936.32
14,2,120.81
14,20,98.46
14,21,245.27
14,22,138.84
14,23,34.57
14,24,304.1
14,25,193.32
14,27,192.41
14,28,348.14
14,29,142.34
14,3,307.98
14,30,85.71
14,31,64.9
14,32,86.42
14,34,61.05
14,35,463.82
14,37,92.3
14,38,143.47
14,39,51.22
14,4,114.15
14,41,161.3
14,42,1315.0
14,43,195.78
14,44,216.97
14,47,179.7
14,48,110.85
14,49,110.95
14,5,818.45
14,55,56.58
14,56,226.99
14,59,9.75
14,6,19.3
14,63,78.84
14,64,237.6
14,65,189.34
14,66,19.3
14,7,479.27
14,8,507.04
14,9,34.35
15,1,176.7
15,10,457.81
15,11,619.2
15,12,961.92
15,13,410.55
15,14,633.6
15,15,958.59
15,16,1669.97
15,17,77.68
15,18,82.63
15,19,12.14
15,2,222.09
15,21,240.02
15,22,830.78
15,24,248.5
15,25,152.21
15,26,71.64
15,27,367.94
15,28,327.35
15,29,258.78
15,3,512.06
15,30,167.92
15,31,47.24
15,33,40.75
15,34,106.48
15,35,588.98
15,36,121.15
15,37,43.31
15,38,139.73
15,39,406.99
15,4,193.35
15,40,158.66
15,41,192.89
15,42,1033.47
15,43,1126.29
15,44,205.81
15,47,434.77
15,48,67.28
15,49,255.32
15,5,1057.98
15,51,7.2
15,52,41.73
15,56,205.43
15,57,131.72
15,63,112.28
15,64,106.63
15,65,72.91
15,7,475.98
15,73,37.0
15,8,359.01
15,9,18.99
16,10,831.46
16,11,991.25
16,12,1317.94
16,13,254.05
16,14,956.63
16,15,1715.61
16,16,1651.27
16,17,494.77
16,18,214.04
16,2,31.57
16,20,179.1
16,21,290.59
16,22,736.11
16,24,192.18
16,25,383.5
16,26,75.73
16,27,1388.42
16,28,119.89
16,29,216.24
16,3,1753.59
16,30,31.57
16,31,84.82
16,33,119.87
16,34,613.57
16,35,187.01
16,36,52.64
16,37,84.65
16,38,132.41
16,39,706.96
16,4,311.6
16,40,296.16
16,41,498.49
16,42,359.25
16,43,1173.26
16,44,43.15
16,46,29.94
16,47,200.62
16,48,67.28
16,49,39.84
16,5,3014.99
16,50,50.96
16,52,77.46
16,56,512.32
16,57,27.96
16,6,35.57
16,61,79.67
16,63,489.23
16,64,160.04
16,65,328.61
16,67,71.74
16,68,67.36
16,7,1514.96
16,74,203.54
16,8,1498.94
16,9,164.05
17,10,25.95
17,12,255.03
17,14,74.39
17,15,145.09
17,16,365.32
17,17,51.89
17,18,43.45
17,2,26.71
17,20,60.03
17,21,242.1
17,22,212.72
17,24,100.18
17,25,189.28
17,27,80.96
17,3,197.39
17,30,25.67
17,32,92.78
17,35,8.65
17,37,64.6
17,38,76.09
17,39,75.68
17,4,46.15
17,40,25.95
17,41,42.79
17,42,91.89
17,43,115.27
17,47,25.95
17,48,336.92
17,5,120.21
17,52,68.87
17,55,43.9
17,56,91.43
17,6,63.18
17,63,43.95
17,68,135.1
17,7,159.52
17,72,38.04
17,8,183.34
17,9,39.33
18,10,67.96
18,11,250.96
18,12,301.3
18,14,749.01
18,15,82.63
18,16,132.2
18,17,43.45
18,18,296.34
18,2,86.9
18,22,146.06
18,24,27.8
18,27,263.54
18,3,442.4
18,30,49.05
18,34,38.13
18,36,93.51
18,37,19.79
18,39,99.53
18,4,29.63
18,42,235.84
18,43,78.3
18,47,143.45
18,5,443.39
18,56,100.63
18,59,19.5
18,62,31.33
18,63,43.45
18,67,29.63
18,7,330.36
18,8,769.61
18,9,43.45
19,10,13.68
19,15,24.36
19,19,97.14
19,3,124.18
19,33,37.27
19,37,17.8
19,38,92.64
19,4,35.61
19,41,43.22
19,5,201.12
19,52,228.22
19,53,38.05
19,54,15.96
19,69,17.8
19,74,7.85
19,8,35.61
2,1,43.42
2,10,82.29
2,11,152.18
2,12,472.97
2,13,44.01
